song_id,artist,title,lyrics,emotion
242,Lil Pump,Gucci Gang,"
My lean cost more than your rent, it do!

Your momma still live in a tent, yeah

Still slanging dope in the jets, huh

Me and my grandma take meds, ouu

None of this shit be new to me

Fucking my teacher, call it tutory

Bought some red bottoms, cost hella Gs

Fuck your airline, fuck your company

Bitch, your breath smell like some cigarettes

I'd rather fuck a bitch from the projects

They kicked me out the plane off a percocet

Now Lil Pump fly a private jet

Everybody screaming ""fuck west jet!""

Lil Pump still sell that meth

Hunnid on my wrist sippin on Tech

Fuck a 'lil bitch, make her pussy wet


Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang!)

Spend three racks on a new chain

My bitch love do cocaine, ouu

I fuck a bitch, I forgot her name

I can't buy a bitch no wedding ring

Rather go and buy Balmains

Gucci gang, Gucci gang, Gucci gang (Gucci gang!)

Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang!)

Spend three racks on a new chain

My bitch love do cocaine, ouu

I fuck a bitch, I forgot her name

I can't buy a bitch no wedding ring

Rather go and buy Balmains

Gucci gang, Gucci gang, Gucci gang",
244,Shawn Mendes,In My Blood,"
Help me, it's like the walls are caving in

Sometimes I feel like giving up

No medicine is strong enough

Someone help me

I'm crawling in my skin

Sometimes I feel like giving up

But I just can't

It isn't in my blood


It isn't in my blood",
245,Kendrick Lamar,All the Stars,"
Tell me what you gon' do to me

Confrontation ain't nothin' new to me

You can bring a bullet, bring a sword

Bring a morgue, but you can't bring the truth to me

Fuck you and all your expectations

I don't even want your congratulations

I recognize you far as confidence and

Calculated promises all in your conversation

I hate people that feel entitled

Look at me crazy 'cause I ain't invite you

Oh, you important?

You the moral to the story, you endorsing?

Motherfucker, I don't even like you

Corrupted man's heart with a gift

That's how you find out who you dealin' with

A small percentage who I'm building with

I want the credit if I'm losing or I'm winning

On my momma that's the realest shit


Love, let's talk about love

Is it anything and everything you hoped for?

Or do the feeling haunt you?

I know the feeling haunt you",
246,Migos,Stir Fry,"
Keep watchin' me whip up, still be real and famous

Dance with my dogs in the nighttime (yeah, woo, woo, woo, roof)

In the kitchen, wrist twistin' like a stir fry (whip it)

In the kitchen, wrist twistin' like a stir fry (whip it)

In the kitchen, wrist twistin' like a stir fry (whip it)

In the kitchen, wrist twistin' like a stir fry (whip it) (Offset)


Gon' whip it, intermission, let the birds fly (brrr)

I get money, tunnel vision through my third eye (money)

In that skillet, watch me flip it like it's Five Guys (flip it)

Look at my pilgrim, check out the ceiling, look at the blue sky (skrrt)

Icy Patek, check, yeah, boogers, they sit on my neck (ice)

I don't regret shit, yeah, I'm petty and I don't got a debt

You crawl 'fore you walk, you can ball every week

For my dogs 'hind the wall, we gon' ball when you free (ball)

Stop watchin' me, democracy, you wanna copy me (you watchin')

Life's Monopoly, go cop me some land and some property (property)

AP, Rolls, pink diamonds, whoa

Whip up the soda, diamonds off the Royce (hey)",
247,Sam Smith,Too Good at Goodbyes,"
And every time you hurt me, the less that I cry

And every time you leave me, the quicker these tears dry

And every time you walk out, the less I love you

Baby, we don't stand a chance, it's sad but it's true


I'm way too good at goodbyes (I'm way too good at goodbyes)

I'm way too good at goodbyes (I'm way too good at goodbyes)",
248,Kendrick Lamar,Love,"
If I didn't ride blade on curb, would you still (love me)

If I made up my mind at work would you still (love me)

Keep it a hundred, I'd rather you trust me than to (love me)

Keep it a whole one hund', don't got you I got nothing


Ay, I got something (I got something)

Hol' up, we gon' function, no assumptions

Feeling like Tyson wit' it, knock it out out twice

I'm with it, only for the night, I'm kidding

Only for life, you're a homie for life

You're a homie for life, let's get it

Hit that shoulder lean, I know what comin' over mean

Backstroke oversea, I know what you need

Already on ten, our money come in

All feeling go out, this feeling don't drought

This party won't end",
249,Childish Gambino,This Is America,"
We just wanna party (yeah)

Party just for you (yeah)

We just want the money (yeah)

Money just for you (you)

I know you wanna party (yeah)

Party just for me (yeah)

Girl, you got me dancin' (yeah, girl, you got me dancin')

Dance and shake the frame (you)


This is America

Don't catch you slippin' up

Don't catch you slippin' up

Look what I'm whippin' up

This is America (woo)

Don't catch you slippin' up

Don't catch you slippin' up

Look what I'm whippin' up",
250,Drake,Nonstop,"
My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is spinnin'

This a Rollie, not a stopwatch, shit don't ever stop

From smokin' the chicken, the bass is kickin'

My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is spinnin', from smokin' the chicken, the bass is kickin'

My head is–


Future took the business and ran it for me

I let Ollie take the owl, told him brand it for me

I get 2 million a pop and that’s standard for me

Like I went blind, dog, you gotta hand it to me

(Gotta gimme that shit, dog)

Prayed, then I prayed again (amen, Lord)

Had a moment but it came and went

(They don't love you no more)

You don’t wanna play with him (nah, nah, nah)

They’ll be mournin' you like 8AM (R.I.P)

Pinky ring 'til I get a wedding ring (woah, yeah)

Love my brothers, cut 'em in on anything (big slice)

And you know it's King Slime Drizzy damn (ooh yeah)

She just said I'm bae, I hit the thizzle dance (Mac Dre shit, damn)

Either hand is the upper hand (oh yeah, shit)

Got a bubba on my other hand (oh yeah, shit, yeah)

This shit ain't no hundred bands (nah, nah, nah, nah)

Palace look like Buckingham

Bills so big I call 'em Williams, for real

Reasons to go crazy, got a trillion for real

They been tryin' me but I'm resilient for real

I can’t go in public like civilian for real

And I hardly take offense

Money for revenge, man, that’s hardly an expense

Al Haymon checks off of all of my events

I like all the profit, man, I hardly do percents (I don't do that shit)

A big part of me resents

Niggas that I knew from when I started in this shit

They see what I got and, man, it's hard to be content

Fuck what they got goin' on, I gotta represent (ay!)",
251,Kane Brown,Heaven,"
Everybody's talking about heaven like they just can't wait to go

Saying how it's gonna be so good, so beautiful

Lying next to you, in this bed with you, I ain't convinced

Cause, I don't know how, I don't know how heaven, heaven

Could be better than this


I swear you're an angel

Sent to this world

What did I do right to deserve you, girl?

I could stay here forever

I'd be fine if we never had to even leave this room",
252,Cardi B,Bodak Yellow,"
Now she say she gon' do what to who? Let's find out and see

Cardi B, you know where I'm at, you know where I be

You in the club just to party, I'm there, I get paid a fee

I be in and out them banks so much, I know they're tired of me

Honestly, don't give a fuck 'bout who ain't fond of me

Dropped two mixtapes in six months, what bitch working as hard as me?

I don't bother with these hoes, don't let these hoes bother me

They see pictures, they say, ""Goals,"" bitch, I'm who they tryna be

Look, I might just chill in some BAPE, I might just chill with your boo

I might just feel on your babe, my pussy feel like a lake

He wanna swim with his face, I'm like, ""Okay""

I'll let him get what he want, he buy me Yves Saint Laurent

And the new whip, when I go fast as a horse, I got the trunk in the front

I'm the hottest in the street, know you prolly heard of me

Got a bag and fixed my teeth, hope you hoes know it ain't cheap

And I pay my mama bills, I ain't got no time to chill

Think these hoes be mad at me, their baby father run a bill


Said, ""Lil bitch, you can't fuck with me if you wanted to""

These expensive, these is red bottoms, these is bloody shoes

Hit the store, I can get 'em both, I don't wanna choose

And I'm quick, cut a nigga off, so don't get comfortable, look

I don't dance now, I make money moves

Say I don't gotta dance, I make money move

If I see you and I don't speak, that means I don't fuck with you

I'm a boss, you a worker, bitch, I make bloody moves",
253,Lil Dicky,Freaky Friday,"
I woke up in Chris Brown's body (oh yeah)

Somehow this shit turned into Freaky Friday

But we got no choice but to turn this bitch sideways (oh yeah, oh yeah)

I can't believe that its freaky Friday

Yeah it's Freaky Friday

I'm in Chris Brown's body

I drive his Ferrari and I'm light-skinned black


(Ring ring, what the fuck)

I woke up and I'm Lil Dicky (Lil Dicky)

(Ugh, what the fuck)

This shit is real weak

How his dick staying perched up on his balls like that?

Walking down the street and ain't nobody know my name (whoa)

Ain't no paparazzi flashing pictures, this is great (whoa)

Ain't nobody judging 'cause I'm black or my controversial past

I'ma go and see a movie and relax (woo)

Ayy, I'm a Blood but I can finally wear blue (cool)

Why his momma calling all the time?

Leave me the fuck alone, bitch

Wait, if I'm in Dicky's body, Breezy is who?

Hope my daughter's in school

Fuck, if I was Chris Brown, where would I be?

What would I do?",
254,6ix9ine,Gummo,"
I'm on some rob a nigga shit, take a nigga bitch

Do the dash in the whip, count the cash in the whip

I pull up with a stick, I let that shit hit

Shout out... but I fucked that nigga bitch


Niggas iffy, uh, Blicky got the stiffy, uh

Got the blicky, uh, drum it holds fifty, uh

Move milli, all my niggas on fifty, uh

Talk down, pew pew pew, you silly, uh

Hit a stain, fifty bands, all hunnids

Spinning through ya block like a pop shove it

Shoot at me I'm shooting back, I'm getting buckets

I ain't wanna take his life but nigga, fuck it",
255,Rich the Kid,Plug Walk,"
Plug walk (plug walk, plug, plug)

I don't even understand how the fuck my plug talk (huh? what, what?)

Pick him up in a space coupe, I don't let my plug walk (skrrt, pull up in a space coupe)

New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)

50K, you could come and book a nigga for a plug walk


Big ol' Bentley, it's a spaceship (woah)

Call me on my phone, I don't say shit (what?)

I make money when I talk (when I talk)

I'm a boss, take a loss (I'm a what?)

I could introduce you to the plug (to the plug)

Bitch, this ain't no Henny in my cup (lil' bitch)

Stayed down, now the racks up (racks up)

She gon' let me fuck, ass up (ass up)

Plug

I stuck keys in the Louis V (Louis V)

Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)

And my wrist is on overseas (drip)

Rich nigga, you can't talk to me (rich)",
256,Maroon 5,Wait,"
Wait, can you turn around, can you turn around? Just wait

Can we work this out, can we work this out? Just wait

Can you call me please? 'Cause I wanna be with you


Wait, can you turn around, can you turn around? Just wait

Can we work this out, can we work this out? Just wait

Can you call me please? 'Cause I wanna be with you",
257,Cardi B,Be Careful,"
The only man, baby, I adore

I gave you everything, what's mine is yours

I want you to live your life of course

But I hope you get what you dyin' for

Be careful with me, do you know what you doin'?

Whose feelings that you're hurtin' and bruisin'?

You gon' gain the whole world

But is it worth the girl that you're losin'?

Be careful with me

Yeah, it's not a threat, it's a warnin'

Be careful with me

Yeah, my heart is like a package with a fragile label on it

Be careful with me


Care for me, care for me

Always said that you'd be there for me, there for me

Boy, you better treat me carefully, carefully, look",
258,Selena Gomez,Wolves,"
I've been running through the jungle 

I've been crying with the wolves 

To get to you, to get to you

I've been down the darkest alleys 

Saw the dark side of the moon 

To get to you, to get to you

I've looked for love in every stranger 

Took too much to ease the anger

All for you, yea all for you 

I've been running through the jungle 

I've been crying with the wolves 

to get to you, oh to get to you


Your fingertips trace my skin 

To places I have never been 

Blindly I am following 

Break down these walls and come on in 

I wanna feel the way that we did that summer night 

Drunk on a feeling, alone with the stars in the sky",
261,YG,Big Bank,"
Big bank take lil' bank, bank

Big bank take lil' bank, bank

Type of money you gon' need a safe

Type of money you gon' need a bank

From the hood, it's type of money make you stay awake

Type of money she gon' let you put it in her face

Big bank take lil' bank, bank

Big bank take lil' bank, bank


Everything proper, no propaganda

Choppa count a Goyard bandana

Big sack, a lotta hoes like Santa

Threw a birthday party in a Phantom

Big shit like a dinosaur did it

And you know Tity shinin' like acrylic

Yeah I sold dope, I had cornrows

I can you see niggas hang with the door close

Now I'm lookin' for a glove with the sparkle on it

And my CBD got chocolate on it

Big bank take small ass shit

Bank account on some tall ass shit

Attitude on some fuck you too

Bankroll on what it do, boo?

Meet me at the room at Vibe, and if I ain't did it yet, I'll try",
262,Demi Lovato,Sorry Not Sorry,"
Now payback is a bad bitch

And baby, I'm the baddest

You fuckin' with a savage

Can't have this, can't have this (ahhhh)

And it'd be nice of me to take it easy on ya, but nahhhh


Baby, I'm sorry (I'm not sorry)

Baby, I'm sorry (I'm not sorry)

Being so bad got me feeling so good

Showing you up like I knew that I would

Baby, I'm sorry (I'm not sorry)

Baby, I'm sorry (I'm not sorry)

Feeling inspired 'cause the tables have turned

Yeah, I'm on fire and I know that it burns",
263,Charlie Puth,How Long,"
She said ""Boy, tell me honestly

Was it real or just for show?"" (yeah)

She said ""Save your apologies

Baby, I just gotta know""


How long has this been goin' on?

You've been creepin' 'round on me

While you're callin' me baby

How long has this been goin' on?

You've been actin' so shady (shady)

I've been feelin' it lately, baby",
264,Max,Lights Down Low,"
Can I stop the flow of time?

Can I swim in your Devine?

Cause I don't think I'd ever leave this place


(Oh)

Turn the lights turn the lights down low

(Yeah)

Now I'm feeling you breathing slow

Cause baby we're just reckless kids

Trying to find an island in the flood

(Oh)

Turn the lights turn the lights down low, oh",
266,Calvin Harris,One Kiss,"
Something in you lit up heaven in me

The feeling won't let me sleep

'Cause I'm lost in the way you move, the way you feel


One kiss is all it takes

Falling in love with me

Possibilities

I look like all you need

One kiss is all it takes

Falling in love with me

Possibilities

I look like all you need",
267,Imagine Dragons,Natural,"
That's the price you pay

Leave behind your heart and cast away

Just another product of today

Rather be the hunter than the prey

And you're standing on the edge, face up 'cause you're a...


Natural

A beating heart of stone

You gotta be so cold

To make it in this world

Yeah, you're a natural

Living your life cutthroat

You gotta be so cold

Yeah, you're a natural",
268,Jason Aldean,You Make It Easy,"
Stealing kisses under cover, babe

See forever when I see your face

And I swear God made you for me


You make it easy

Lovin' up on you

Make it easy

With every little thing you do

You're my sunshine in the darkest days

My better half, my saving grace

You make me who I wanna be

You make it easy",
269,Ed Sheeran,Shape of You,"
Girl, you know I want your love

Your love was handmade for somebody like me

Come on now, follow my lead

I may be crazy, don't mind me

Say, boy, let's not talk too much

Grab on my waist and put that body on me

Come on now, follow my lead

Come, come on now, follow my lead


I'm in love with the shape of you

We push and pull like a magnet do

Although my heart is falling too

I'm in love with your body

And last night you were in my room

And now my bedsheets smell like you

Every day discovering something brand new

I'm in love with your body (Ohiohiohiohi)

I'm in love with your body (Ohiohiohiohi)

I'm in love with your body (Ohiohiohiohi)

I'm in love with your body

Every day discovering something brand new

I'm in love with the shape of you",
270,Gucci Mane,I Get the Bag,"
Percocet pill on me, ice on my neck baby chill with me (ice!)

Them niggas that flex in the back don't say nothin them niggas will kill for me

Backends I got 'em asleep, on fleek

100k spent on a Patek Phillippe (Phillippe!)

Bitch I'm a dog, give my treat

Hop out the frog and leap (leap!)

I put them bricks in the Phantom, my bitch she walk around like she Kris Jenner

I used to break and then enter

Then Takeoff run 'em like the game of temple

It's simple, I play with the mental

Momma said she saw me on Jimmy Kimmel (mama!)

Canada 'cause I'm a money symbol

Walking with the racks I'm looking crippled (money!)

Fuck on that bitch then I tip her (tip her!)

A nickel for me to take pictures (nickel!)

Not from L.A. but I clip her (brrr!)

Double my cup, pour a triple

Fox on my body, no Vivica (fox on my)

I'm not your average or typical (I'm not your)

Look at my wrist and it's critical (look at the)

Hold it up, droppin' the temperature (droppin' the)

I get that bag on the regular (bag!)

I got a bag on my cellular (brrr!)

Backing up, bagging up vegetables

Baggin' up cookies, it's medical (cookies!)

Cocaine, codeine, et cetera

Cocaine and lean, it's federal

I take off, landin' on Nebula

As of now 20 M's on my schedule

(Takeoff!)


You get the bag and fumble it, I get the bag and flip it and tumble it (ye)

Straight out the lot, 300 cash (cash!), and the car came with a blunt in it (ye)

Lil mama a thot (thot!), and she got ass, and she gon' fuck up a bag (ye)

Pull up to the spot, living too fast, droppin' the dope in the stash (yeee-ah)

In Italy, got two foreign hoes, they DM me (brrr!)

Drop the top (drop top), when it's cold but you feel the heat (skrrt)

Be real with me, keep it 100, just be real with me, aye

(It's Gucci!)

Eat it up like it's a feast, they say the dope on fleek",
271,DJ Khaled,No Brainer,"
Quavo!

Mama told you don't talk to strangers (mama, mama, mama!)

But when you're ridin' in the drop, you can't explain it (skrrt, skrrt, skrrt-skrrt)

What you been waitin' on this whole time? (Yeah)

I blow the brains outta your mind (ooh)

And I ain't talkin' 'bout physically (no)

I'm talkin' 'bout mentally (talkin' 'bout mentally)

She lookin', she look like she nasty (she lookin')

She lookin', she look like she classy (she lookin')

She lookin', just look at her dancin' (look at her)

She lookin', I took her to the mansion (yeah, yeah)


You stick out of the crowd, baby, it's a no-brainer

It ain't that hard to choose

Him or me, be for real, baby, it's a no-brainer

You got your mind unloose

Go hard and watch the sun rise

One night'll change your whole life

Off top, drop-top, baby it's a no-brainer

Put 'em up if you with me

Yeah, yeah-eah, yeah, yeah-eah-eah

In the middle, woah

Woah-woah-oah, oh, oh-oh, ooh

Put 'em high

Put 'em high

Yeah-eah-eah, yeah, yeah-eah-eah

Both arms, yeah

Woah-woah-oah, oh, oh-oh, ooh

Put 'em high",
272,ASAP Ferg,Plain Jane,"
Ride with the mob, Alhamdulillah

Check in with me and do your job

Ferg is the name, Ben Baller did the chain

Tourneau for the watch, presi Plain Jane

Ride with the mob, Alhamdulillah

Check in with me and do your job

Ferg is the name, Ben Baller did the chain

Tourneau for the watch, presi Plain Jane


Suck a nigga dick or somethin'

Suck a nigga dick or somethin'

Suck a nigga dick or somethin'

Suck a nigga dick or somethin'",
273,Miguel,Sky Walker,"
I'm outstandin' so I stand out (stand out)

I'm more bathed than a bathhouse

Top Gun, on my Tom Cruise

I play for keeps and I don't lose

You're gonna love it 'cause you're cool as a breeze (cool as a breeze)

So pick a poison, yeah I got what you need (got what you need)

Nonchalant, got the green on rotation

All night, we gon' keep it psychedelic like a...


Captain is still, catch a wave, roll us (splish)

Take a shot, make a friend, just enjoy the moment

I'm Luke Skywalkin' on these haters (splish)

Celebrate every day like a birthday

Good things come to those that wait up (splish)

But don't wait to jump in too long

Don't sleep, you gotta stay up (splish)

Don't, don't sleep, you gotta stay up

Yeah, yeah, yeah",
280,Florida Georgia Line,Simple,"
It's like one, two, three

Just as easy as can be

Just the way you look at me

You make me smile

Ain't no need to complicate it, we both know that's overrated

We've been there, it's safe to say it ain't our style

It's just that simple, S-I-M-P-L-E

Simple as can be

It's just that simple, S-I-M-P-L-E

Simple as can be


We used to live on Instagram

Worry 'bout who all gives a damn

'Bout where we've been and where we ended up

Then I met you and you met me

And all the rest is history

An epiphany that all we need is us",
283,Justin Timberlake,Say Something,"
Everybody says ""say something""

Say something, say something

Say something, say something, say something

I don't wanna get caught up in the rhythm of it

But I can't help myself, no, I can't help myself, no, no

Caught up in the middle of it

No I can't help myself, no I can't help myself, no, no, no

Caught up in the rhythm of it


Maybe I'm looking for something I can't have

(Maybe I'm looking for something I can't have)

Maybe I'm looking for something I can't have",
284,Drake,I'm Upset,"
Got a lot of blood and it's cold

They keep tryna get me for my soul

Thankful for the women that I know

Can't go fifty-fifty with no ho

Every month, I'm supposed to pay her bills

And get her what she want

I still got like seven years of doin' what I want

My dad still got child support from 1991

Outta time, people love to pop a lot of shit then come around

Word to Flacko Jodye, he done seen us put it down

Niggas askin' if I'm cool


I'm upset

Hunnid thousand on my head, it's disrespect

So offended that I had to double check",
285,Kenny Chesney,Get Along,"
Get along while we can

Always give love the upper hand

Paint a wall, learn to dance

Call your mom, buy a boat

Drink a beer, sing a song

Make a friend, can't we all get along?


Saw a model on a billboard, 1-800 get to know me

Wondered was she photoshopped, or were her eyes really that lonely?

Did she leave her hometown thinkin' she'd end up in L.A.?

Did she break down in the desert and get stuck beside the highway?",
286,XXXTentacion,Moonlight,"Yeah
Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, uh, moonlight

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Feel like I'm destined

I don't need no Smith & Wesson, no

Girl, who you testin'?

Fuck a Scantron, here's your lesson, oh

Knife in intestine

Takin' shots with all your brethren, no

Feel like I'm damaged

Feelin' like you fuckin' planned it

All alone, call my phone, make me feel right

Girl you know when you call, make me feel right

All alone, call my phone, make me feel right

Girl you know when you call, make me feel right

Spotlight, uh, moonlight, uh

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, uh, moonlight

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind",
287,Maroon 5,What Lovers Do,"
Ooooh, oooh Been wishin' for you

Ooh, ooh Tryna do what lovers do (ooh)

Ooooh, oooh Been wishin' for you

Ooh, ooh Tryna do what lovers do (ooh)


Say say say, hey hey now baby

You gon' make me hit you with that lay down baby (oh)

Say say say, hey hey now baby

You know what I need you don't have to cave, now baby",
289,YoungBoy Never Broke Again,Outside Today,"
Tryna hide from the cameras, I ain't going outside today

Couldn't find Hi-Tec, so I'm drinking on Act today

I'ma pull up in style, we gon do a drive by in the wraith

I'ma take it to trial, pray to Lord I beat the case


I jump out at your house I ain't shootin' from the corner

Ben bought me a bitch but I really don't want her

I don't do no cappin' I keep it 1hunnit

Right now I'm recordin' with ten thousand on me

He say he want smoke but I know he don't want it

Shoot him and his bitch and I up one of his homies

You know how I'm feelin' I don't got to say it

Face every problem all by my lonely",
290,Ella Mai,Trip,"
But I think that I'm done trippin', I'm trip-trippin'

I've been sippin', that's how I control

This feelin', you keep givin'

You keep on hittin' it ooh, oh

Maybe it's your love, it's too good to be true

Baby boy, your love, got me trippin' on you

You know your love is big enough, make me trip up on you

Yeah, it's big enough, got me trippin' on you, trip-trippin' on you


My bad, my bad for, trippin' on you (trippin' on you)

My bad, my bad for, trippin' on you (trippin' on you)",
291,Daddy Yankee,Dura,"
'Tás dura, dura, dura, dura, dura

Que estás dura, mano arriba porque tú te ves bien

'Tás dura, mamacita, te fuiste de nivel

Dura, mira como brilla tu piel

'Tás dura, dímelo, dímelo, ¿cómo es que e'?

'Tás dura, yo te doy un veinte de diez

'Tás dura, dura, dura


Tu eres la máquina, la máquina de baile

Si no tiene' a nadie vente pa' mi' brazos, caile

Ese perfume se siente en el aire

Algo como Argentina, tú me traes los Buenos Aires

Está poderosa, media escandalosa

Habrán muchas mujeres pero tú eres otra cosa

Si fuera un delito eso de que estás hermosa

Te arresto en mi cama y te pongo las esposas",
292,XXXTentacion,Changes,"
Girl, you're making it hard for me

Girl, you're making it hard for me

Girl, you're making it hard for me, uh

Girl, you're making it hard for me

Girl, you're making it hard for me

Girl, you're making it hard for me


Mmm, baby, I don't understand this

You're changing, I can't stand it

My heart can't take this damage

And the way I feel, can't stand it",
293,Brett Young,Mercy,"
So if you're gonna break my heart, just break it

And if you're gonna take your shot, then take it

Take it

If you made up your mind, then make it

Make this fast

If you ever loved me

Have mercy


If you go out tonight and get drunk and lonely

Wind up home alone

Please don't call me

And say you miss me

No",
294,Luke Combs,One Number Away,"
And I'm one number away from calling to you

I said I was through, but I'm dying, inside

Got my head in a mess, girl I confess

I lied when I said, ""I'm leaving and not coming back""

Might be the whiskey or the midnight rain

But everywhere I go I see your face

In my brain, dial it up, everything I want to say

But I'm still one number away


Are you stuck at a red light with a Marlboro Light on your lips?

Does the smoke in your mirror get clearer without my kiss?

Are you changing the station replacing our favorite song?

Maybe it's a mistake, hit the brakes, I'm moving on",
295,Rae Sremmurd,Powerglide,"
What's in ya' mug? Toasted up, no I ain't hostin'

Kush all in my lap because these hoes don't want to roll it

I was sliding in the Lamb' with the powerglide (oh)

Slime green paint, peanut butter inside (oh)

She wanna fuck, speak up

Comin' out her clothes (oh)

I'm in wonderland when she comin' down the pole (whoa)

And I don't care if she take all of mine (oh)

Like it ain't shit but a dollar sign


Diamonds unthawed, comin' in froze (froze)

Got too many girls to let one of them go (oh)

When I make a purchase, I can't wait to showboat (oh)

If she bad, I put a pinky ring on, snow globe

I'ma have that pussy on lock like Hulk Hogan (yeah)

She was going up and down the pole like yo-yo (down)

You can say I'm greedy 'cause I always want more (more)

I don't fuck with homs 'cause they with some slow-pokes (lame)

Oh, money on monsoon, baby girl full moon (ay)

Give these niggas with some money some room

She don't she stop, pedigrees, now they clueless

Oh, big balling like Mutombo, yeah

Much cooler than the cool kids, woah

Can you believe every night we do this? (yeah)",
296,Dua Lipa,IDGAF,"
So I cut you off

I don't need your love

'Cause I already cried enough

I've been done

I've been movin' on since we said goodbye

I cut you off

I don't need your love, so you can try all you want

Your time is up, I'll tell you why


You say you're sorry

But it's too late now

So save it, get gone, shut up

'Cause if you think I care about you now

Well, boy, I don't give a fuck",
297,J Balvin,Mi Gente,"
Toda mi gente se mueve

Mira el ritmo como los tiene

Hago música que entretiene

Mi música los tiene fuerte bailando

Y se baila así


Estamos rompiendo la discoteca

La fiesta no para, apenas comienza

Se come-ci, si comme-ça

Ma chèrie, la la la la la

Francia, Colombia

Me gusta (Freeze)

J Balvin, Willy William

Me gusta (Freeze)

Los DJ's no mienten, le gusta a mi gente

Y eso se fue mundial (Freeze)

No le bajamos, más nunca paramos

Es otro palo y ¡Blam!",
298,Imagine Dragons,Believer,"
I was broken from a young age

Taking my sulkin to the masses

Write down my poems for the few

That looked at me took to me, shook to me, feeling me

Singing from heart ache from the pain

Take up my message from the veins

Speaking my lesson from the brain

Seeing the beauty through the...


Pain!

You made me a, you made me a believer, believer

Pain!

You break me down, you build me up, believer, believer

Pain!

I let the bullets fly, oh let them rain

My life, my love, my drive, it came from...

Pain!

You made me a, you made me a believer, believer",
299,Lil Nas X,Old Town Road,"
Can't nobody tell me nothin'

You can't tell me nothin'

Can't nobody tell me nothin'

You can't tell me nothin'


Ridin' on a tractor

Lean all in my bladder

Cheated on my baby

You can go and ask her

My life is a movie

Bull ridin' and boobies

Cowboy hat from Gucci

Wrangler on my booty",
300,Post Malone,Sunflower,"
Then you're left in the dust unless I stuck by ya

You're the sunflower, I think your love would be too much

Or you'll be left in the dust, unless I stuck by ya

You're the sunflower, you're the sunflower


Every time I'm leavin' on ya (Ooh), you don't make it easy, no, no

Wish I could be there for ya, give me a reason to go

Every time I'm walkin' out, I can hear you tellin' me to turn around

Fightin' for my trust and you won't back down

Even if we gotta risk it all right now, oh

I know you're scared of the unknown (-known)

You don't wanna be alone (Alone)

I know I always come and go (And go)

But it's out of my control",
301,Halsey,Without Me,"
I say I'd catch you if you fall

And if they laugh, then fuck 'em all

And then I got you off your knees

Put you right back on your feet

Just so you can take advantage of me


Tell me how's it feel sittin' up there

Feeling so high but too far away to hold me

You know I'm the one who put you up there

Name in the sky

Does it ever get lonely?

Thinking you could live without me

Thinking you could live without me

Baby I'm the one who put you up there

I don't know why

Thinking you could live without me

Thinking you could live without me

Baby, I'm the one who put you up there

I don't know why, yeah",
302,Billie Eilish,Bad Guy,"
So you're a tough guy

Like a really rough guy

Just can't get enough guy

Chest always so puffed guy

I'm that bad type

Make your mama sad type

Make your girlfriend mad type

Might seduce your dad type

I'm the bad guy, duh

I'm the bad guy


I like it when you take control

Even if you know that you don't

Own me, I'll let you play the role

I'll be your animal

My mommy likes to sing along with me

But she won't sing this song

If she reads all the lyrics

She'll pity the men I know",
